                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0431,                 2.7439,                 1.4538,                0.47453,                0.50583,                0.42941,                0.26831,                 1.0911,                 2.3044,                 1.6314,             0.00041322,             0.00041322,             0.00041322
                      2,                 1.1224,                  1.872,                 1.4695,                0.50918,                0.58262,                0.54257,                0.33702,                 1.1858,                 1.8058,                 1.7249,             0.00082167,             0.00082167,             0.00082167
                      3,                 1.1423,                  1.649,                 1.4438,                0.62005,                0.52372,                0.56766,                0.31992,                 1.3016,                 1.5866,                 1.7218,              0.0012219,              0.0012219,              0.0012219
                      4,                 1.1429,                 1.4983,                 1.4437,                0.62854,                0.60115,                0.63804,                0.40886,                 1.1646,                 1.5288,                   1.67,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1106,                 1.3871,                 1.4197,                 0.5821,                0.66794,                 0.6259,                0.41695,                 1.1632,                 1.3562,                 1.6517,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1293,                  1.345,                 1.4293,                0.66064,                0.59403,                0.67212,                0.43683,                 1.1631,                 1.2189,                 1.6201,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.0775,                 1.2437,                 1.4002,                0.69715,                0.63179,                0.69557,                 0.4804,                 1.1183,                 1.1364,                 1.5837,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0647,                 1.2104,                 1.3786,                0.62286,                0.57892,                 0.6079,                0.40589,                 1.1068,                  1.349,                 1.5619,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0886,                    1.2,                 1.3953,                0.50267,                0.67325,                0.60839,                0.42204,                 1.1159,                 1.3374,                 1.5611,               0.001151,               0.001151,               0.001151
                     10,                 1.0541,                 1.1406,                 1.3672,                0.73754,                0.65025,                0.72446,                0.50986,                 1.0583,                 1.0204,                 1.4937,              0.0011386,              0.0011386,              0.0011386
                     11,                  1.068,                 1.1308,                 1.3751,                0.74798,                0.66157,                0.72975,                0.50401,                 1.0995,                 1.0865,                 1.5433,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.0429,                 1.0947,                 1.3559,                0.66715,                0.67013,                0.72335,                0.48095,                  1.146,                 1.0958,                 1.6235,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.0206,                  1.059,                 1.3495,                0.66535,                0.67891,                0.72684,                  0.513,                 1.0682,                 1.0643,                 1.5179,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.0185,                 1.0749,                 1.3382,                0.62116,                 0.6522,                0.67528,                 0.4672,                 1.0945,                 1.0697,                  1.546,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.0313,                 1.0534,                   1.36,                0.72162,                0.68887,                0.74852,                0.51806,                 1.1096,                 1.0256,                 1.5367,              0.0010768,              0.0010768,              0.0010768
